id_cliente,perfil_referencia,edad,monto_compra,uso_descuentos,frecuencia_compra,categoria_producto_codificada,metodo_pago_codificado,temporada_codificada,cluster,perfil_estimado
2001,joven_descuentos,22,59,1,7,2,1,3,1,bajo_monto_compra_bajo_edad
2002,premium,41,252,0,6,4,2,1,2,bajo_monto_compra_alto_edad
2003,estacional,35,140,1,2,3,3,4,2,bajo_monto_compra_alto_edad
2004,regular,31,123,0,6,1,2,2,3,alto_monto_compra_bajo_edad
2005,baja_actividad,50,81,0,2,5,1,1,2,bajo_monto_compra_alto_edad
2006,joven_descuentos,22,99,1,6,2,1,3,1,bajo_monto_compra_bajo_edad
2007,premium,41,236,0,5,4,2,1,4,alto_monto_compra_alto_edad
2008,estacional,35,124,1,4,3,3,4,4,alto_monto_compra_alto_edad
2009,regular,31,107,0,5,1,2,2,1,bajo_monto_compra_bajo_edad
2010,baja_actividad,50,65,0,1,5,1,1,2,bajo_monto_compra_alto_edad
2011,joven_descuentos,22,83,1,8,2,1,3,1,bajo_monto_compra_bajo_edad
2012,premium,41,276,0,4,4,2,1,4,alto_monto_compra_alto_edad
2013,estacional,35,164,1,3,3,3,4,4,alto_monto_compra_alto_edad
2014,regular,31,91,0,7,1,2,2,1,bajo_monto_compra_bajo_edad
2015,baja_actividad,50,49,0,0,5,1,1,2,bajo_monto_compra_alto_edad
2016,joven_descuentos,22,67,1,7,2,1,3,1,bajo_monto_compra_bajo_edad
2017,premium,41,260,0,6,4,2,1,4,alto_monto_compra_alto_edad
2018,estacional,35,148,1,2,3,3,4,4,alto_monto_compra_alto_edad
2019,regular,31,131,0,6,1,2,2,3,alto_monto_compra_bajo_edad
2020,baja_actividad,50,89,0,2,5,1,1,2,bajo_monto_compra_alto_edad
2021,joven_descuentos,22,51,1,6,2,1,3,1,bajo_monto_compra_bajo_edad
2022,premium,41,244,0,5,4,2,1,4,alto_monto_compra_alto_edad
2023,estacional,35,132,1,4,3,3,4,4,alto_monto_compra_alto_edad
2024,regular,31,115,0,5,1,2,2,3,alto_monto_compra_bajo_edad
2025,baja_actividad,50,73,0,1,5,1,1,2,bajo_monto_compra_alto_edad
2026,joven_descuentos,22,91,1,8,2,1,3,1,bajo_monto_compra_bajo_edad
2027,premium,41,284,0,4,4,2,1,4,alto_monto_compra_alto_edad
2028,estacional,35,116,1,3,3,3,4,4,alto_monto_compra_alto_edad
2029,regular,31,99,0,7,1,2,2,1,bajo_monto_compra_bajo_edad
2030,baja_actividad,50,57,0,0,5,1,1,2,bajo_monto_compra_alto_edad
2031,joven_descuentos,22,75,1,7,2,1,3,1,bajo_monto_compra_bajo_edad
2032,premium,41,268,0,6,4,2,1,4,alto_monto_compra_alto_edad
2033,estacional,35,156,1,2,3,3,4,4,alto_monto_compra_alto_edad
2034,regular,31,139,0,6,1,2,2,3,alto_monto_compra_bajo_edad
2035,baja_actividad,50,41,0,2,5,1,1,2,bajo_monto_compra_alto_edad
2036,joven_descuentos,22,59,1,6,2,1,3,1,bajo_monto_compra_bajo_edad
2037,premium,41,252,0,5,4,2,1,4,alto_monto_compra_alto_edad
2038,estacional,35,140,1,4,3,3,4,4,alto_monto_compra_alto_edad
2039,regular,31,123,0,5,1,2,2,3,alto_monto_compra_bajo_edad
2040,baja_actividad,50,81,0,1,5,1,1,2,bajo_monto_compra_alto_edad
2041,joven_descuentos,22,99,1,8,2,1,3,1,bajo_monto_compra_bajo_edad
2042,premium,41,236,0,4,4,2,1,4,alto_monto_compra_alto_edad
2043,estacional,35,124,1,3,3,3,4,4,alto_monto_compra_alto_edad
2044,regular,31,107,0,7,1,2,2,1,bajo_monto_compra_bajo_edad
2045,baja_actividad,50,65,0,0,5,1,1,2,bajo_monto_compra_alto_edad
2046,joven_descuentos,22,83,1,7,2,1,3,1,bajo_monto_compra_bajo_edad
2047,premium,41,276,0,6,4,2,1,4,alto_monto_compra_alto_edad
2048,estacional,35,164,1,2,3,3,4,4,alto_monto_compra_alto_edad
2049,regular,31,91,0,6,1,2,2,1,bajo_monto_compra_bajo_edad
2050,baja_actividad,50,49,0,2,5,1,1,2,bajo_monto_compra_alto_edad
2051,joven_descuentos,22,67,1,6,2,1,3,1,bajo_monto_compra_bajo_edad
2052,premium,41,260,0,5,4,2,1,4,alto_monto_compra_alto_edad
2053,estacional,35,148,1,4,3,3,4,4,alto_monto_compra_alto_edad
2054,regular,31,131,0,5,1,2,2,3,alto_monto_compra_bajo_edad
2055,baja_actividad,50,89,0,1,5,1,1,2,bajo_monto_compra_alto_edad
2056,joven_descuentos,22,51,1,8,2,1,3,1,bajo_monto_compra_bajo_edad
2057,premium,41,244,0,4,4,2,1,4,alto_monto_compra_alto_edad
2058,estacional,35,132,1,3,3,3,4,4,alto_monto_compra_alto_edad
2059,regular,31,115,0,7,1,2,2,3,alto_monto_compra_bajo_edad
2060,baja_actividad,50,73,0,0,5,1,1,2,bajo_monto_compra_alto_edad
